id,comment_text,user_id,photo_id,created_at
75,"Wow, stunning!",54,13,2017-04-21 13:53:18
76,"Absolutely stunning!",81,77,2017-06-10 00:30:28
77,"Wow, stunning!",56,89,2018-01-29 06:41:45
78,"Absolutely stunning!",13,9,2017-09-27 05:27:27
79,"Incredible!",35,173,2016-06-23 18:06:25
80,"I love it!",51,82,2017-12-15 10:06:34
81,"Iconic!",30,98,2018-02-12 18:10:22
82,"This is so cool!",56,223,2017-10-13 02:10:32
83,"So beautiful!",46,55,2017-04-28 17:21:22
84,"Wow, stunning!",78,149,2017-01-27 18:53:15
85,"So aesthetic!",64,111,2017-10-16 00:28:19
86,"This made my day!",40,82,2018-03-08 11:18:32
87,"Masterpiece!",88,220,2016-10-03 21:48:47
88,"This made my day!",17,145,2017-06-18 04:39:54
89,"So beautiful!",48,243,2016-06-19 16:16:39
90,"Perfect lighting!",48,214,2017-01-01 11:52:35
91,"This made my day!",89,120,2018-03-12 17:20:14
92,"Obsessed with this!",36,175,2017-05-06 07:04:37
93,"Obsessed with this!",17,165,2017-01-21 21:35:04
94,"Perfect lighting!",79,122,2017-10-14 20:30:32
95,"This made my day!",61,10,2017-11-06 03:28:48
96,"Masterpiece!",50,76,2017-04-26 02:57:37
97,"Fire!",68,252,2018-02-08 09:41:06
98,"Absolutely stunning!",9,231,2016-12-15 10:03:23
99,"Brilliant!",92,74,2016-07-31 17:14:54
100,"Amazing shot!",32,115,2017-05-02 12:58:03
101,"Mood!",80,248,2016-10-28 09:55:50
102,"Masterpiece!",63,161,2017-12-02 07:17:02
103,"I love it!",25,62,2016-08-02 07:05:51
104,"Perfect lighting!",68,145,2017-06-21 15:24:02
105,"I love it!",90,6,2017-02-23 07:26:10
106,"Amazing shot!",38,13,2018-03-30 23:26:48
107,"So beautiful!",98,216,2017-06-13 16:55:40
108,"Fire!",100,76,2018-03-03 13:54:32
109,"This made my day!",21,228,2016-09-19 09:57:35
110,"Incredible!",59,142,2018-02-12 16:30:19
111,"Obsessed with this!",37,84,2016-10-10 11:45:10
112,"Love this!",3,64,2017-05-01 20:07:07
113,"Wow, stunning!",62,189,2017-04-19 13:39:15
114,"So aesthetic!",71,14,2018-03-24 11:47:32
115,"This made my day!",51,92,2018-02-18 01:15:26
116,"Obsessed with this!",37,166,2018-01-04 01:26:01
117,"Wow, stunning!",66,29,2017-10-22 02:19:32
118,"Wow, stunning!",9,72,2016-09-13 19:02:01
119,"So beautiful!",21,121,2017-06-04 13:00:03
120,"So aesthetic!",44,42,2017-05-18 02:31:59
121,"Mood!",64,206,2016-08-03 19:06:10
122,"Wow, stunning!",54,203,2017-12-14 03:15:27
123,"This is so cool!",27,230,2016-09-27 09:29:37
124,"Love this!",30,123,2018-03-23 20:18:16
125,"Perfect lighting!",4,27,2017-10-04 01:32:36
126,"Perfect lighting!",6,113,2016-11-04 05:00:45
127,"This made my day!",65,164,2017-07-02 23:05:42
128,"Amazing shot!",86,203,2017-11-05 10:32:43
129,"So aesthetic!",64,13,2017-12-16 02:28:27
130,"Obsessed with this!",6,103,2016-07-07 07:36:12
131,"Amazing shot!",30,252,2017-05-24 02:56:07
132,"Loving the vibe!",75,189,2016-11-16 14:27:39
133,"Masterpiece!",20,4,2017-03-16 09:40:18
134,"This is so cool!",48,199,2016-12-24 22:07:21
135,"Incredible!",33,172,2017-05-01 09:28:43
136,"I love it!",51,62,2017-09-06 01:02:57
137,"Incredible!",58,208,2016-12-07 04:06:10
138,"Great photo!",6,199,2016-12-28 07:17:13
139,"Incredible!",98,153,2018-01-29 11:02:43
140,"Love this!",47,238,2018-03-26 22:47:46
141,"Incredible!",30,130,2017-11-06 00:52:01
142,"Incredible!",40,7,2016-12-03 12:09:29
143,"Absolutely stunning!",27,256,2017-05-02 16:40:15
144,"Iconic!",51,85,2017-10-05 20:25:09
145,"Perfect lighting!",77,147,2016-08-19 22:26:28
146,"Amazing shot!",14,1,2018-02-25 01:49:17
147,"Amazing shot!",2,141,2017-04-07 16:12:14
148,"Great photo!",49,82,2016-07-25 13:24:01
149,"Brilliant!",25,217,2016-08-17 10:11:37
150,"I love it!",54,12,2016-07-06 04:22:18
151,"Goals!",39,73,2017-09-11 07:27:05
152,"Iconic!",16,16,2016-11-26 00:31:20
153,"Perfect lighting!",15,45,2017-09-10 21:06:32
154,"Goals!",89,140,2016-06-24 20:30:23
155,"Wow, stunning!",62,33,2017-01-07 02:22:20
156,"Amazing shot!",51,194,2016-07-09 18:06:38
157,"So aesthetic!",56,239,2016-11-27 00:28:59
158,"So beautiful!",74,23,2017-03-15 10:15:05
159,"Incredible!",93,246,2017-03-01 00:53:19
160,"Incredible!",86,140,2017-01-27 16:18:38
161,"Obsessed with this!",1,23,2017-08-20 20:21:01
162,"Perfect lighting!",90,251,2016-07-19 10:25:54
163,"Masterpiece!",47,46,2017-06-12 16:36:42
164,"Brilliant!",61,84,2018-04-06 13:31:03
165,"This made my day!",93,75,2018-03-17 12:37:34
166,"Obsessed with this!",53,90,2017-07-17 13:32:53
167,"I love it!",60,178,2016-10-30 18:00:16
168,"Brilliant!",87,209,2017-08-17 03:08:50
169,"Wow, stunning!",78,130,2017-05-07 13:03:31
170,"Mood!",60,231,2018-04-28 05:58:52
171,"Loving the vibe!",6,176,2018-03-03 05:16:52
172,"Mood!",77,175,2018-03-10 05:48:16
173,"Incredible!",74,72,2017-07-11 02:58:34
174,"Loving the vibe!",54,58,2017-12-10 01:31:42
175,"Obsessed with this!",67,54,2016-06-05 09:16:26
176,"Perfect lighting!",71,85,2017-05-09 17:48:37
177,"Brilliant!",15,167,2017-12-14 14:22:48
178,"Perfect lighting!",67,202,2018-01-12 12:47:03
179,"Great photo!",96,209,2017-01-18 23:19:07
180,"Incredible!",59,80,2016-06-01 18:22:07
181,"Wow, stunning!",14,254,2016-08-13 11:09:40
182,"I love it!",31,208,2017-01-01 19:43:56
183,"Incredible!",82,50,2016-06-25 00:35:25
184,"Great photo!",4,152,2016-12-30 06:45:41
185,"So beautiful!",100,37,2017-02-15 16:28:43
186,"Brilliant!",16,217,2018-04-09 14:40:22
187,"This made my day!",2,154,2017-07-03 13:39:00
188,"So aesthetic!",27,156,2018-02-25 21:28:11
189,"Iconic!",62,22,2016-07-03 18:12:15
190,"Goals!",45,16,2017-09-28 13:58:19
191,"So aesthetic!",97,51,2018-01-23 22:34:55
192,"Amazing shot!",45,252,2017-06-25 01:24:28
193,"Iconic!",63,45,2017-02-14 19:47:48
194,"Perfect lighting!",12,43,2018-03-09 03:25:21
195,"This made my day!",59,195,2017-02-03 21:58:36
196,"This made my day!",61,18,2017-04-14 20:07:13
197,"Incredible!",100,232,2018-02-19 14:56:59
198,"Wow, stunning!",13,6,2018-01-29 01:01:40
199,"So beautiful!",65,228,2017-10-28 06:35:54
200,"Obsessed with this!",60,141,2017-07-03 19:30:10
201,"Goals!",84,25,2018-01-21 04:17:03
202,"This is so cool!",90,252,2017-09-06 10:40:55
203,"I love it!",21,21,2018-02-06 12:03:59
204,"So beautiful!",15,80,2016-12-21 17:33:15
205,"Amazing shot!",63,128,2017-07-02 23:48:24
206,"Love this!",23,193,2017-04-06 06:39:03
207,"Obsessed with this!",29,175,2017-10-19 08:19:40
208,"Great photo!",92,228,2016-09-12 05:59:12
209,"Masterpiece!",18,68,2017-12-29 00:51:43
210,"Brilliant!",57,255,2017-08-15 00:44:51
211,"Mood!",91,189,2016-09-17 15:14:29
212,"Goals!",61,18,2017-08-21 20:17:24
213,"So beautiful!",90,217,2016-08-06 03:10:35
214,"Iconic!",34,184,2017-07-16 18:27:48
215,"Great photo!",32,71,2016-06-25 05:53:53
216,"Incredible!",12,96,2017-08-31 19:52:34
217,"Iconic!",48,135,2016-08-08 23:53:37
218,"Great photo!",24,212,2017-12-26 01:26:50
219,"Wow, stunning!",30,104,2017-04-04 04:51:00
220,"Amazing shot!",96,201,2017-06-16 02:11:03
221,"Great photo!",66,7,2017-11-20 09:40:50
222,"I love it!",75,5,2016-10-19 11:38:01
223,"Incredible!",32,246,2016-12-11 17:17:07
224,"Incredible!",62,246,2016-09-10 06:16:39
225,"Wow, stunning!",50,37,2018-04-15 04:37:20
226,"So beautiful!",66,75,2017-10-03 18:41:30
227,"Perfect lighting!",10,85,2018-03-04 15:03:19
228,"Perfect lighting!",81,186,2017-02-24 14:47:46
229,"Love this!",8,222,2017-04-25 14:22:04
230,"Brilliant!",4,99,2017-07-06 16:22:39
231,"Wow, stunning!",78,116,2017-10-04 22:23:15
232,"This is so cool!",66,209,2017-02-03 21:48:29
233,"Iconic!",67,148,2016-08-16 15:45:20
234,"So aesthetic!",77,16,2016-08-07 20:27:01
235,"Love this!",91,75,2017-06-14 10:05:57
236,"Fire!",51,144,2018-03-28 12:25:58
237,"I love it!",39,168,2017-09-25 18:37:15
238,"Obsessed with this!",63,198,2017-12-26 22:02:05
239,"Iconic!",77,71,2017-05-12 03:18:45
240,"This made my day!",89,251,2017-11-28 18:49:23
241,"Goals!",79,33,2018-03-07 09:45:55
242,"Masterpiece!",35,148,2017-11-08 08:17:43
243,"Obsessed with this!",42,123,2016-12-13 12:41:20
244,"This made my day!",40,99,2017-11-13 14:59:01
245,"Masterpiece!",36,136,2017-08-09 23:59:51
246,"I love it!",25,72,2016-12-12 13:09:40
247,"Incredible!",92,165,2017-09-17 21:10:51
248,"Great photo!",67,89,2017-03-26 23:15:01
249,"Masterpiece!",32,106,2018-03-11 12:17:00
250,"Brilliant!",24,255,2017-02-07 14:15:31
251,"Obsessed with this!",62,139,2017-09-14 19:33:59
252,"Goals!",44,75,2018-02-11 02:37:23
253,"Absolutely stunning!",33,64,2017-12-16 14:18:41
254,"Incredible!",1,35,2017-02-16 18:01:27
255,"Loving the vibe!",59,142,2018-01-03 15:18:34
256,"Love this!",26,137,2017-08-12 22:52:07
257,"Iconic!",63,56,2017-08-22 14:05:09
258,"This is so cool!",16,72,2016-10-04 13:09:20
259,"Love this!",98,28,2016-08-11 10:05:53
260,"Wow, stunning!",14,138,2016-09-07 15:24:38
261,"Obsessed with this!",27,21,2016-08-01 00:21:31
262,"Masterpiece!",15,173,2017-03-11 10:20:49
263,"Perfect lighting!",56,124,2017-01-12 22:30:43
264,"Mood!",78,137,2017-05-29 08:36:20
265,"Mood!",20,12,2018-01-20 11:31:52
266,"This is so cool!",98,113,2017-06-28 07:23:46
267,"This is so cool!",70,9,2016-09-02 20:47:53
268,"Iconic!",95,139,2016-10-06 03:29:01
269,"Perfect lighting!",32,209,2017-02-03 16:43:48
270,"This is so cool!",79,85,2017-01-12 10:10:30
271,"Perfect lighting!",14,2,2018-04-19 11:13:54
272,"Fire!",56,198,2017-01-05 08:27:12
273,"So aesthetic!",13,42,2017-08-29 16:06:42
274,"Masterpiece!",20,197,2017-06-25 00:50:18
275,"Incredible!",70,140,2018-04-21 17:53:44
276,"This made my day!",56,176,2016-06-22 18:10:09
277,"Fire!",65,199,2018-02-12 07:28:51
278,"So beautiful!",48,74,2018-02-06 13:45:01
279,"Incredible!",22,207,2017-01-10 11:26:24
280,"Goals!",46,208,2017-02-10 10:34:59
281,"Masterpiece!",30,195,2017-09-24 00:53:01
282,"So beautiful!",88,125,2017-09-07 00:47:47
283,"Brilliant!",50,177,2017-06-26 00:44:46
284,"Fire!",63,224,2017-08-09 03:15:25
285,"Brilliant!",56,131,2017-01-21 09:47:54
286,"Iconic!",47,134,2016-11-09 06:08:11
287,"Love this!",29,101,2017-06-26 13:16:25
288,"So beautiful!",7,118,2016-11-10 03:21:48
289,"Goals!",79,26,2016-08-21 19:07:26
290,"Wow, stunning!",33,232,2017-03-28 05:09:24
291,"This is so cool!",56,143,2017-01-21 14:54:29
292,"Loving the vibe!",40,86,2016-08-08 08:26:24
293,"Obsessed with this!",12,27,2018-04-02 06:24:21
294,"So aesthetic!",37,241,2016-11-19 08:36:05
295,"Masterpiece!",3,101,2016-08-18 02:27:11
296,"Goals!",99,52,2016-12-01 19:26:26
297,"Mood!",16,237,2017-06-13 06:30:51
298,"Perfect lighting!",20,96,2016-06-09 11:51:01
299,"Loving the vibe!",22,140,2016-06-22 18:14:15
300,"Absolutely stunning!",65,30,2016-10-17 06:04:49
301,"Wow, stunning!",7,241,2016-10-14 08:48:29
302,"Obsessed with this!",78,189,2017-03-13 16:50:08
303,"This is so cool!",32,233,2016-09-21 09:02:14
304,"So beautiful!",21,22,2017-06-22 04:56:53
305,"Fire!",1,148,2017-11-24 17:50:19
306,"Mood!",87,203,2017-12-07 14:42:19
307,"Loving the vibe!",68,239,2017-05-29 22:02:46
308,"Goals!",74,208,2017-11-19 14:50:35
309,"Wow, stunning!",22,256,2016-07-08 07:31:57
310,"I love it!",10,189,2016-09-27 22:00:19
311,"Absolutely stunning!",53,196,2017-04-03 13:36:11
312,"Iconic!",4,162,2016-12-21 00:35:02
313,"Fire!",56,76,2018-01-26 05:05:29
314,"Absolutely stunning!",84,155,2017-02-06 05:10:53
315,"Fire!",3,117,2017-02-14 17:43:22
316,"Fire!",52,239,2017-06-16 07:27:09
317,"So aesthetic!",60,67,2016-07-23 08:56:00
318,"I love it!",82,52,2017-06-19 01:56:02
319,"Absolutely stunning!",45,239,2018-04-01 15:46:44
320,"Brilliant!",10,151,2017-11-07 20:05:00
321,"Iconic!",62,21,2016-08-09 12:50:00
322,"I love it!",43,100,2017-11-01 06:02:30
323,"Wow, stunning!",2,52,2017-12-28 09:48:58
324,"Loving the vibe!",8,13,2017-01-10 22:57:43
325,"Amazing shot!",67,191,2017-09-03 14:41:16
326,"Brilliant!",43,236,2018-02-27 11:53:20
327,"Love this!",37,189,2017-11-12 21:19:18
328,"Iconic!",16,225,2017-08-18 18:42:47
329,"Wow, stunning!",5,35,2017-06-22 12:01:13
330,"Goals!",85,226,2016-10-26 05:10:39
331,"So beautiful!",98,101,2018-02-22 13:58:37
332,"Perfect lighting!",36,202,2016-07-13 01:36:08
333,"Wow, stunning!",39,7,2016-12-17 15:13:57
334,"So aesthetic!",73,100,2016-11-03 15:32:36
335,"Incredible!",71,131,2016-06-01 02:24:40
336,"Goals!",21,20,2017-10-08 02:24:22
337,"This is so cool!",29,240,2018-04-20 17:58:01
338,"Fire!",15,41,2017-05-17 22:27:24
339,"Iconic!",94,191,2017-02-20 21:00:34
340,"This made my day!",71,170,2017-11-22 05:39:54
341,"Masterpiece!",86,143,2017-02-07 08:14:08
342,"Iconic!",3,223,2017-03-06 11:56:51
343,"Iconic!",66,154,2017-07-20 01:52:02
344,"Goals!",76,154,2016-09-18 05:23:14
345,"Perfect lighting!",29,113,2017-09-19 05:34:47
346,"So aesthetic!",13,186,2017-07-15 15:15:57
347,"I love it!",73,170,2016-08-23 08:49:44
348,"So beautiful!",21,247,2017-04-18 02:04:18
349,"So aesthetic!",56,208,2016-11-05 15:04:53
350,"This made my day!",61,16,2017-06-15 04:18:16
351,"Iconic!",40,121,2017-10-17 14:25:49
352,"Absolutely stunning!",76,110,2017-08-15 08:33:36
353,"Masterpiece!",37,125,2016-11-16 12:14:14
354,"Obsessed with this!",21,168,2017-06-21 03:01:03
355,"So beautiful!",13,43,2016-06-09 05:27:46
356,"Iconic!",70,220,2016-09-03 23:35:30
357,"Amazing shot!",20,27,2017-09-26 06:27:54
358,"I love it!",5,69,2017-06-11 13:00:25
359,"Love this!",86,45,2016-11-17 11:16:41
360,"Love this!",43,52,2018-01-18 02:59:53
361,"Incredible!",6,1,2016-11-22 14:13:51
362,"Goals!",63,56,2018-01-29 10:36:38
363,"Masterpiece!",79,37,2017-03-19 05:02:48
364,"Masterpiece!",9,237,2017-02-22 05:43:49
365,"Iconic!",100,50,2018-02-12 08:08:52
366,"Love this!",89,146,2017-07-08 12:19:48
367,"Iconic!",86,84,2017-09-07 13:03:42
368,"I love it!",66,157,2018-04-01 14:36:12
369,"I love it!",54,121,2018-04-14 11:53:29
370,"Fire!",27,124,2016-10-31 05:39:04
371,"Love this!",5,41,2018-01-23 04:17:09
372,"Wow, stunning!",14,230,2016-10-31 02:40:26
373,"This made my day!",37,171,2018-01-15 08:42:39
374,"So aesthetic!",92,247,2017-07-25 04:27:51
375,"Incredible!",86,155,2017-09-28 23:53:27
376,"This is so cool!",5,187,2017-07-06 06:58:18
377,"Love this!",45,34,2016-07-03 09:10:53
378,"Iconic!",50,96,2017-09-18 23:58:08
379,"Fire!",51,166,2016-10-15 11:54:08
380,"This made my day!",96,217,2018-01-02 06:41:52
381,"Goals!",1,85,2017-07-31 03:23:38
382,"Wow, stunning!",63,172,2016-07-14 05:06:34
383,"Goals!",31,254,2016-12-25 06:34:20
384,"Amazing shot!",54,20,2018-03-09 13:08:01
385,"Masterpiece!",92,176,2017-06-17 12:16:34
386,"Iconic!",1,54,2017-10-27 07:20:38
387,"Loving the vibe!",43,141,2017-07-06 19:15:02
388,"So aesthetic!",76,101,2016-07-11 16:33:51
389,"Mood!",93,149,2017-09-11 01:37:14
390,"Amazing shot!",37,171,2017-07-23 21:27:23
391,"Iconic!",81,33,2017-08-02 16:52:37
392,"This made my day!",78,119,2018-01-27 08:06:55
393,"I love it!",58,136,2018-03-30 01:24:33
394,"Absolutely stunning!",30,131,2017-02-27 00:09:21
395,"Love this!",68,118,2017-01-14 16:21:24
396,"Amazing shot!",31,204,2017-08-15 01:44:20
397,"Mood!",10,141,2017-12-12 15:10:24
398,"I love it!",3,257,2018-02-05 01:51:50
399,"Mood!",64,110,2018-04-09 20:06:38
400,"Perfect lighting!",37,60,2017-07-04 20:24:59
401,"This is so cool!",93,169,2017-12-11 23:53:16
402,"So aesthetic!",26,8,2016-08-21 11:58:13
403,"Amazing shot!",32,246,2016-09-10 04:43:43
404,"This is so cool!",96,133,2018-04-05 10:38:34
405,"So aesthetic!",86,132,2016-11-13 15:31:35
406,"Brilliant!",27,84,2016-09-08 10:30:50
407,"So beautiful!",40,36,2016-11-07 04:25:17
408,"So beautiful!",1,123,2017-03-04 06:30:58
409,"This made my day!",15,232,2016-10-03 18:13:16
410,"Loving the vibe!",99,239,2016-10-04 17:31:17
411,"So beautiful!",86,143,2017-05-31 03:21:02
412,"Absolutely stunning!",46,91,2016-12-11 19:51:14
413,"Masterpiece!",33,10,2016-08-28 02:18:34
414,"This made my day!",21,75,2016-11-12 19:00:30
415,"Iconic!",89,100,2018-03-09 12:47:36
416,"Absolutely stunning!",4,175,2017-08-17 03:46:15
417,"Incredible!",66,207,2016-11-19 06:55:22
418,"Obsessed with this!",80,248,2016-08-08 08:15:20
419,"Mood!",85,254,2017-09-12 14:06:00
420,"Incredible!",42,189,2016-07-13 01:19:28
421,"Amazing shot!",58,97,2018-01-06 12:56:25
422,"This made my day!",3,191,2017-07-31 00:16:14
423,"Wow, stunning!",60,44,2016-09-07 21:39:01
424,"Obsessed with this!",67,60,2016-10-18 17:14:13
425,"Great photo!",64,175,2018-03-02 01:10:57
426,"Perfect lighting!",82,163,2017-04-16 19:33:16
427,"Great photo!",38,20,2016-07-27 10:55:48
428,"Goals!",86,71,2017-06-24 05:34:18
429,"So aesthetic!",36,175,2016-08-16 19:19:54
430,"Iconic!",47,39,2017-04-12 10:54:58
431,"Amazing shot!",53,12,2017-03-19 11:55:59
432,"Wow, stunning!",24,48,2017-11-20 21:57:04
433,"Brilliant!",77,52,2016-09-25 03:27:52
434,"This made my day!",34,171,2016-10-05 06:38:56
435,"Obsessed with this!",74,109,2016-08-20 08:25:45
436,"I love it!",7,142,2017-12-16 19:42:30
437,"Mood!",92,153,2018-04-05 10:49:59
438,"Love this!",13,207,2017-04-16 15:17:52
439,"Goals!",12,171,2016-07-24 04:59:02
440,"Obsessed with this!",9,49,2016-06-05 03:53:22
441,"Iconic!",62,22,2017-06-05 14:46:53
442,"Goals!",70,55,2016-11-10 21:30:44
443,"This made my day!",32,42,2016-11-20 06:44:25
444,"Amazing shot!",84,54,2017-09-25 07:57:08
445,"This is so cool!",94,65,2018-04-30 18:33:25
446,"Amazing shot!",31,209,2018-04-29 19:02:27
447,"Iconic!",35,97,2017-12-13 08:39:43
448,"Incredible!",8,221,2018-02-18 14:08:33
449,"Brilliant!",25,150,2016-10-18 14:43:41
450,"Obsessed with this!",76,211,2017-03-22 09:48:25
451,"So aesthetic!",32,64,2017-02-17 23:36:18
452,"Amazing shot!",78,255,2016-09-26 14:45:55
453,"Goals!",76,98,2016-10-10 20:59:38
454,"Perfect lighting!",24,62,2016-10-14 01:27:49
455,"Love this!",30,128,2016-08-13 14:22:16
456,"Goals!",18,112,2016-09-24 20:55:10
457,"Great photo!",1,108,2016-06-15 15:02:59
458,"Incredible!",14,175,2017-09-01 05:15:24
459,"Brilliant!",93,64,2017-04-29 14:58:07
460,"Fire!",49,141,2018-04-11 07:20:17
461,"Incredible!",82,75,2017-07-04 12:51:31
462,"Iconic!",25,125,2017-10-14 09:58:20
463,"Goals!",56,26,2016-06-04 15:46:32
464,"Love this!",60,82,2016-08-01 16:42:08
465,"Incredible!",68,149,2017-07-29 04:01:12
466,"I love it!",37,73,2017-03-14 06:26:47
467,"Iconic!",99,8,2017-11-25 02:22:38
468,"Brilliant!",76,233,2017-04-07 23:27:23
469,"Incredible!",29,231,2017-03-10 17:21:39
470,"This is so cool!",50,139,2017-10-05 08:01:49
471,"Amazing shot!",57,69,2017-01-27 23:29:30
472,"Perfect lighting!",63,197,2017-12-17 18:33:27
473,"Brilliant!",15,138,2017-11-17 09:16:38
474,"Goals!",89,51,2018-04-06 18:48:16
475,"Amazing shot!",40,207,2016-08-04 20:38:58
476,"I love it!",14,124,2017-02-14 08:53:40
477,"Iconic!",97,94,2017-11-24 00:07:21
478,"This made my day!",20,11,2017-12-20 15:16:54
479,"Amazing shot!",73,175,2017-10-06 07:02:31
480,"I love it!",24,56,2017-08-10 09:08:41
481,"Obsessed with this!",90,140,2016-12-22 22:53:44
482,"Great photo!",52,183,2017-06-25 17:10:46
483,"Perfect lighting!",80,101,2017-04-29 01:40:03
484,"Iconic!",44,183,2017-02-02 19:23:14
485,"Perfect lighting!",43,253,2017-08-16 20:28:39
486,"Great photo!",3,40,2017-12-31 04:59:16
487,"Love this!",30,211,2016-12-27 17:00:21
488,"Great photo!",53,38,2018-04-29 19:58:21
489,"Perfect lighting!",57,70,2017-01-06 07:57:15
490,"Love this!",48,50,2017-02-18 00:25:33
491,"Great photo!",76,210,2017-03-15 23:24:41
492,"Incredible!",76,231,2016-09-04 12:24:31
493,"So beautiful!",31,61,2017-02-12 21:47:03
494,"Love this!",69,124,2017-10-01 10:05:17
495,"Amazing shot!",70,86,2017-10-15 07:52:38
496,"Great photo!",53,170,2016-08-30 18:20:21
497,"Obsessed with this!",75,118,2017-03-12 00:00:12
498,"Brilliant!",90,179,2017-09-07 20:15:13
499,"Amazing shot!",90,85,2016-09-08 22:50:09
500,"Goals!",74,11,2016-12-15 06:15:53
501,"Love this!",21,120,2016-12-01 07:07:51
502,"Wow, stunning!",27,102,2017-03-30 16:46:45
503,"Perfect lighting!",8,231,2018-02-24 04:53:51
504,"Incredible!",5,61,2017-06-11 22:49:59
505,"So aesthetic!",97,154,2016-11-05 02:18:12
506,"Absolutely stunning!",21,243,2016-06-08 06:14:22
507,"Mood!",48,18,2016-11-27 15:18:16
508,"This is so cool!",14,44,2017-01-03 02:39:56
509,"Great photo!",20,213,2017-08-20 08:20:49
510,"Goals!",90,86,2017-11-15 20:12:24
511,"Fire!",87,169,2016-11-09 21:38:12
512,"Fire!",69,111,2017-08-10 06:16:02
513,"Goals!",79,228,2017-04-20 09:28:28
514,"Amazing shot!",78,110,2016-12-18 14:46:31
515,"Mood!",38,193,2017-09-20 03:18:50
516,"Wow, stunning!",75,60,2016-07-26 08:21:52
517,"Mood!",95,58,2017-10-04 14:22:01
518,"Love this!",84,70,2017-11-13 06:32:45
